ocrn_dt,dsp_rqr_tm,spt_frstt_dist,spt_sf_cntr_dist,dth_cnt,injpsn_cnt,emd_nm,ign_htsrc_nm,fc_plc_lclas_nm,fc_plc_mclas_nm,fc_plc_sclas_nm,lon,lat
2021-08-30 18:28,0:04:52,2.0,2.0,0,0,당산동1가,미상,교육시설,연구/학원,기타 연구/학원,126.8960047,37.52157189
2023-08-13 14:53,0:03:23,1.7,2.5,0,0,당산동2가,불씨/불꽃/화원방치,자동차/철도차량,자동차,승용자동차,126.8922205,37.5221656
2021-04-10 5:30,0:03:00,1.2,1.2,0,0,문래동3가,접촉불량에 의한 단락,주거,공동주택,아파트,126.8973904,37.51627575
2022-10-02 10:20,0:04:53,1.1,1.1,0,0,문래동3가,층간단락,주거,공동주택,아파트,126.8973904,37.51627575
2023-05-15 11:00,0:02:00,1.3,1.3,0,0,문래동3가,음식물 조리중,주거,공동주택,아파트,126.8973904,37.51627575
2021-10-23 4:37,0:03:22,0.7,0.7,0,0,문래동3가,과열/ 과부하,판매/업무시설,일반업무,오피스텔,126.8979781,37.51831145
2023-12-21 17:12,0:03:41,0.5,0.5,0,0,문래동3가,기기(전기/ 기계 등) 사용.설치부주의,주거,단독주택,단독주택,126.8988753,37.51895752
2021-11-23 12:14,0:01:09,1.2,1.2,0,0,문래동3가,미확인단락,산업시설,공장시설,그 밖의 공업,126.8980387,37.51948343
2022-07-30 19:59,0:02:52,0.8,0.8,0,0,당산동1가,불씨/불꽃/화원방치,생활서비스,음식점,한식,126.899242,37.51995668
2023-01-08 15:29,0:04:33,1.0,2.7,0,0,당산동1가,불씨/불꽃/화원방치,주거,단독주택,단독주택,126.8995992,37.52150274
2023-02-16 16:20,0:06:27,1.0,2.0,0,0,당산동1가,가연물 근접방치,주거,공동주택,기타 공동주택,126.8986915,37.52209591
2023-12-30 10:55,0:01:45,0.9,0.9,0,0,당산동1가,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.8989487,37.52248672
2022-05-11 23:36,0:04:19,2.1,2.1,0,0,문래동6가,압착/손상에 의한 단락,자동차/철도차량,자동차,승용자동차,126.8848656,37.51840229
2023-05-21 13:05,0:01:50,1.0,1.0,0,0,문래동6가,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.8874144,37.51859828
2023-05-21 16:02,0:03:48,1.6,1.6,0,0,문래동3가,담배꽁초,운수자동차시설,자동차시설,카센터,126.8896424,37.51881545
2022-05-08 13:26,0:04:36,1.5,1.5,0,0,문래동6가,담배꽁초,기타,야외,기타야외,126.8865797,37.5189205
2022-08-31 11:03,0:04:45,2.0,2.0,0,0,문래동6가,오일/연료누설,생활서비스,음식점,치킨/족발,126.8862787,37.51898228
2021-01-19 4:08,0:07:04,4.5,4.5,0,0,문래동6가,교통사고,자동차/철도차량,자동차,승용자동차,126.8833136,37.51938718
2023-05-13 18:01,0:02:47,1.2,1.2,0,0,문래동3가,담배꽁초,판매/업무시설,판매시설,상가빌딩,126.8919444,37.51965326
2021-06-09 16:01,0:04:22,1.6,1.6,0,0,문래동3가,담배꽁초,생활서비스,음식점,한식,126.8909663,37.51980977
2023-05-29 8:46,0:03:22,1.6,1.6,0,0,문래동6가,음식물 조리중,주거,공동주택,아파트,126.8877355,37.52100633
2021-12-03 15:38,0:03:55,2.1,2.1,0,0,문래동6가,음식물 조리중,주거,공동주택,아파트,126.8877355,37.52100633
2021-11-26 12:09,0:04:07,1.7,1.7,0,0,문래동6가,용접/ 절단/ 연마,산업시설,공장시설,그 밖의 공업,126.8861395,37.52109833
2022-07-02 10:01,0:01:22,1.4,2.1,0,0,양평동1가,미상,생활서비스,음식점,커피숍/다방/카페(휴게),126.8911682,37.52110812
2022-07-12 18:43,0:02:37,1.7,2.5,0,0,양평동1가,담배꽁초,판매/업무시설,일반업무,일반빌딩,126.8895295,37.52152619
2023-01-17 12:17,0:03:01,1.6,3.2,0,0,양평동1가,불씨/불꽃/화원방치,주거,단독주택,다중주택,126.8905339,37.52168597
2021-06-09 19:28,0:02:40,1.7,2.2,0,0,양평동1가,담배꽁초,생활서비스,음식점,한식,126.8877757,37.52211956
2021-07-04 12:11,0:03:10,2.7,3.0,0,0,양평동2가,음식물 조리중,주거,공동주택,아파트,126.882683,37.52230634
2023-05-10 20:01,0:05:02,1.7,3.3,0,0,양평동1가,기기(전기/ 기계 등) 사용.설치부주의,주거,공동주택,아파트,126.887037,37.52235537
2023-09-08 14:46,0:03:56,1.6,3.0,0,0,양평동1가,누전/지락,판매/업무시설,판매시설,기타 판매시설,126.8890796,37.52268167
2022-03-21 21:30,0:02:25,1.3,1.3,0,0,양평동1가,가연물 근접방치,판매/업무시설,숙박시설,기타 숙박시설,126.8897395,37.52284365
2023-12-27 16:40,0:02:08,1.9,2.0,0,0,양평동2가,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.8839534,37.52298605
2021-11-18 18:55,0:04:55,1.8,2.5,0,1,양평동1가,음식물 조리중,주거,공동주택,아파트,126.8868735,37.52317395
2021-04-12 22:47,0:02:49,4.0,3.7,0,0,양평동,불씨/불꽃/화원방치,기타서비스,기타건축물,공중화장실,126.8809429,37.52318434
2023-12-29 2:10,0:05:23,2.0,3.4,0,0,양평동2가,압착/손상에 의한 단락,생활서비스,위락시설,단란주점,126.8846539,37.52328533
2021-02-11 12:19,0:02:06,1.8,1.8,0,0,양평동1가,미상,자동차/철도차량,자동차,승용자동차,126.8901439,37.52351068
